NNNNNNNN | b7fa3ac8  T | N  incorrect  1
nNNNNNNN | b7fa3ae4  T | N  incorrect  2
nNNNnNNN | b7fa3adf  N | N  correct    2
nNNNnNNN | b7fa3ae4  T | N  incorrect  3
nNNNtNNN | b7fa3adf  N | N  correct    3
nNNNtNNN | b7fa3ae4  T | T  correct    3
nNNNTNNN | b7fa3adf  N | N  correct    3
nNNNTNNN | b7fa3ae4  T | T  correct    3
nNNNTNNN | b7fa3adf  N | N  correct    3
nNNNTNNN | b7fa3ae4  T | T  correct    3
nNNNTNNN | b7fa3adf  N | N  correct    3
nNNNTNNN | b7fa3ae4  T | T  correct    3
nNNNTNNN | b7fa3adf  N | N  correct    3
nNNNTNNN | b7fa3ae4  T | T  correct    3
nNNNTNNN | b7fa3adf  N | N  correct    3
nNNNTNNN | b7fa3ae4  T | T  correct    3
nNNNTNNN | b7fa3adf  N | N  correct    3
nNNNTNNN | b7fa3ae4  T | T  correct    3
nNNNTNNN | b7fa3adf  N | N  correct    3
nNNNTNNN | b7fa3ae4  T | T  correct    3
nNNNTNNN | b7fa3adf  N | N  correct    3
nNNNTNNN | b7fa3ae4  T | T  correct    3
nNNNTNNN | b7fa3adf  N | N  correct    3
nNNNTNNN | b7fa3ae4  T | T  correct    3
nNNNTNNN | b7fa3adf  N | N  correct    3
nNNNTNNN | b7fa3ae4  T | T  correct    3
nNNNTNNN | b7fa3adf  N | N  correct    3
nNNNTNNN | b7fa3ae4  N | T  incorrect  4
nNNNtNNN | b7fa3af0  N | N  correct    4
NNNNtNNN | b7fa3b0c  T | T  correct    4
NNNNTNNN | b7fa3ae4  N | T  incorrect  5
NNNNtNNN | b7fa3af0  N | N  correct    5
NNNNtNNN | b7fa3b0c  T | T  correct    5
NNNNTNNN | b7fa3ae4  N | T  incorrect  6
NNNNtNNN | b7fa3af0  N | N  correct    6
NNNNtNNN | b7fa3b0c  T | T  correct    6
NNNNTNNN | b7fa3ae4  N | T  incorrect  7
NNNNtNNN | b7fa3af0  N | N  correct    7
NNNNtNNN | b7fa3b0c  N | T  incorrect  8
NNNNnNNN | b7fa3b18  N | N  correct    8
NNNNnNNN | b7fa3b22  N | N  correct    8
NNNNnNNN | b7fa3b2f  N | N  correct    8
NNNNnNNN | b7fa3b3c  N | N  correct    8
NNNNNNNN | b7fa3b49  N | N  correct    8
NNNNNNNN | b7fa3b56  N | N  correct    8
NNNNNNNN | b7fa3b63  N | N  correct    8
NNNNNNNN | b7fa3b70  N | N  correct    8
NNNNNNNN | b7fa3b7d  N | N  correct    8
NNNNNNNN | b7fa3b83  N | N  correct    8
NNNNNNNN | b7fa3b91  N | N  correct    8
NNNNNNNN | b7fa3b9d  N | N  correct    8
NNNNNNNN | b7fa3bab  T | N  incorrect  9
NNNnNNNN | b7fa3bbf  T | N  incorrect  10
NNNnNNNn | b7fa3bd3  N | N  correct    10
NNNNNNNn | b7fa3be1  N | N  correct    10
NNNNNNNn | b7fa3bef  T | N  incorrect  11
NNNNNNNt | b7fa3cc3  N | N  correct    11
NNNNNNNt | b7fa3ce5  N | N  correct    11
NNNNNNNt | b7fa3cf3  N | N  correct    11
NNNNNNNt | b7fa3d23  N | N  correct    11
NNNNNNNt | b7fa3d30  N | N  correct    11
NNNNNNNt | b7fa3d39  N | N  correct    11
NNNNNNNt | b7fa3d46  N | N  correct    11
NNNNNNNt | b7fa3d56  T | N  incorrect  12
NNNNNNnt | b7fa3d46  N | N  correct    12
NNNNNNNt | b7fa3d56  T | N  incorrect  13
NNNNNNnt | b7fa3d46  N | N  correct    13
NNNNNNNt | b7fa3d56  T | N  incorrect  14
NNNNNNnt | b7fa3d46  N | N  correct    14
NNNNNNNt | b7fa3d56  T | N  incorrect  15
NNNNNNnt | b7fa3d46  N | N  correct    15
NNNNNNNt | b7fa3d56  T | N  incorrect  16
NNNNNNnt | b7fa3d46  N | N  correct    16
NNNNNNNt | b7fa3d56  T | N  incorrect  17
NNNNNNnt | b7fa3d46  N | N  correct    17
NNNNNNNt | b7fa3d56  T | N  incorrect  18
NNNNNNnt | b7fa3d46  N | N  correct    18
NNNNNNNt | b7fa3d56  T | N  incorrect  19
NNNNNNnt | b7fa3d46  N | N  correct    19
NNNNNNNt | b7fa3d56  T | N  incorrect  20
NNNNNNnt | b7fa3d46  N | N  correct    20
NNNNNNNt | b7fa3d56  T | N  incorrect  21
NNNNNNnt | b7fa3d46  N | N  correct    21
NNNNNNNt | b7fa3d56  N | N  correct    21
NNNNNNNt | b7fa3d60  T | N  incorrect  22
nNNNNNNt | b7fa3da3  T | N  incorrect  23
nNNnNNNt | b7fa3d81  N | N  correct    23
nNNnNNNt | b7fa3d95  N | N  correct    23
nNNnNNNt | b7fa3da3  T | N  incorrect  24
nNNtNNNt | b7fa3d81  N | N  correct    24
nNNtNNNt | b7fa3d95  N | N  correct    24
nNNtNNNt | b7fa3da3  T | T  correct    24
nNNTNNNt | b7fa3d81  N | N  correct    24
nNNTNNNt | b7fa3d95  N | N  correct    24
nNNTNNNt | b7fa3da3  T | T  correct    24
nNNTNNNt | b7fa3d81  N | N  correct    24
nNNTNNNt | b7fa3d95  N | N  correct    24
nNNTNNNt | b7fa3da3  T | T  correct    24
nNNTNNNt | b7fa3d81  N | N  correct    24
nNNTNNNt | b7fa3d95  N | N  correct    24
nNNTNNNt | b7fa3da3  T | T  correct    24
nNNTNNNt | b7fa3d81  N | N  correct    24
nNNTNNNt | b7fa3d95  N | N  correct    24
nNNTNNNt | b7fa3da3  N | T  incorrect  25
nNNtNNNt | b7fabaaa  N | N  correct    25
nNNtNNNt | b7fb5aa1  N | N  correct    25
nNNtNNNt | b7fb5aaa  T | N  incorrect  26
nNntNNNt | b7fb5aaa  T | N  incorrect  27
nNttNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  T | T  correct    27
nNTtNNNt | b7fb5aaa  N | T  incorrect  28
nNttNNNt | b7fb5ad1  N | N  correct    28
nNttNNNt | b7fb5add  N | N  correct    28
nNttNNNt | b7fb5c85  T | N  incorrect  29
nNttNnNt | b7fb5add  N | N  correct    29
nNttNNNt | b7fb5afb  T | T  correct    29
nNtTNNNt | b7fb5add  N | N  correct    29
nNtTNNNt | b7fb5c1a  T | T  correct    29
nNTTNNNt | b7fb5add  N | N  correct    29
nNTTNNNt | b7fb5bbf  T | T  correct    29
nNTTNNNT | b7fb5add  N | N  correct    29
nNTTNNNT | b7fb5c36  T | N  incorrect  30
nNTTNNnT | b7fb5add  N | N  correct    30
nNTTNNnT | b7fb5b8d  T | N  incorrect  31
