NNNNNNNNNNNNNNNN  NNN | b7fa3ac8  T | N  incorrect  1
NNNNNNNNnNNNNNNN  NNT | b7fa3ae4  T | N  incorrect  2
NNNNNnNNnNNNNNNN  NTT | b7fa3adf  N | N  correct    2
NNNNNnNNnNNNNNNN  TTN | b7fa3ae4  T | N  incorrect  3
NNnNNnNNnNNNNNNN  TNT | b7fa3adf  N | N  correct    3
NNnNNnNNnNNNNNNN  NTN | b7fa3ae4  T | N  incorrect  4
NNnNNnnNnNNNNNNN  TNT | b7fa3adf  N | N  correct    4
NNnNNnnNnNNNNNNN  NTN | b7fa3ae4  T | N  incorrect  5
NNnNNntNnNNNNNNN  TNT | b7fa3adf  N | N  correct    5
NNnNNntNnNNNNNNN  NTN | b7fa3ae4  T | T  correct    5
NNnNNnTNnNNNNNNN  TNT | b7fa3adf  N | N  correct    5
NNnNNnTNnNNNNNNN  NTN | b7fa3ae4  T | T  correct    5
NNnNNnTNnNNNNNNN  TNT | b7fa3adf  N | N  correct    5
NNnNNnTNnNNNNNNN  NTN | b7fa3ae4  T | T  correct    5
NNnNNnTNnNNNNNNN  TNT | b7fa3adf  N | N  correct    5
NNnNNnTNnNNNNNNN  NTN | b7fa3ae4  T | T  correct    5
NNnNNnTNnNNNNNNN  TNT | b7fa3adf  N | N  correct    5
NNnNNnTNnNNNNNNN  NTN | b7fa3ae4  T | T  correct    5
NNnNNnTNnNNNNNNN  TNT | b7fa3adf  N | N  correct    5
NNnNNnTNnNNNNNNN  NTN | b7fa3ae4  T | T  correct    5
NNnNNnTNnNNNNNNN  TNT | b7fa3adf  N | N  correct    5
NNnNNnTNnNNNNNNN  NTN | b7fa3ae4  T | T  correct    5
NNnNNnTNnNNNNNNN  TNT | b7fa3adf  N | N  correct    5
NNnNNnTNnNNNNNNN  NTN | b7fa3ae4  T | T  correct    5
NNnNNnTNnNNNNNNN  TNT | b7fa3adf  N | N  correct    5
NNnNNnTNnNNNNNNN  NTN | b7fa3ae4  T | T  correct    5
NNnNNnTNnNNNNNNN  TNT | b7fa3adf  N | N  correct    5
NNnNNnTNnNNNNNNN  NTN | b7fa3ae4  N | T  incorrect  6
NNnNNntNnNNNNNNN  TNN | b7fa3af0  N | N  correct    6
NNnNNntNnNNNNNNN  NNN | b7fa3b0c  T | N  incorrect  7
NNnNNntNnNNNnNNN  NNT | b7fa3ae4  N | N  correct    7
NNnNNNtNnNNNnNNN  NTN | b7fa3af0  N | N  correct    7
NNNNNNtNnNNNnNNN  TNN | b7fa3b0c  T | N  incorrect  8
NNNNNNtNtNNNnNNN  NNT | b7fa3ae4  N | N  correct    8
NNNNNNtNtNNNnNNN  NTN | b7fa3af0  N | N  correct    8
NNNNNNtNtNNNnNNN  TNN | b7fa3b0c  T | T  correct    8
NNNNNNtNTNNNnNNN  NNT | b7fa3ae4  N | N  correct    8
NNNNNNtNTNNNnNNN  NTN | b7fa3af0  N | N  correct    8
NNNNNNtNTNNNnNNN  TNN | b7fa3b0c  N | T  incorrect  9
NNNNNNtNtNNNnNNN  NNN | b7fa3b18  N | T  incorrect  10
NNNNNNtNnNNNnNNN  NNN | b7fa3b22  N | N  correct    10
NNNNNNtNnNNNnNNN  NNN | b7fa3b2f  N | N  correct    10
NNNNNNtNnNNNnNNN  NNN | b7fa3b3c  N | N  correct    10
NNNNNNtNnNNNNNNN  NNN | b7fa3b49  N | N  correct    10
NNNNNNtNnNNNNNNN  NNN | b7fa3b56  N | T  incorrect  11
NNNNNNnNnNNNNNNN  NNN | b7fa3b63  N | N  correct    11
NNNNNNnNnNNNNNNN  NNN | b7fa3b70  N | N  correct    11
NNNNNNnNnNNNNNNN  NNN | b7fa3b7d  N | N  correct    11
NNNNNNnNnNNNNNNN  NNN | b7fa3b83  N | N  correct    11
NNNNNNnNnNNNNNNN  NNN | b7fa3b91  N | N  correct    11
NNNNNNnNnNNNNNNN  NNN | b7fa3b9d  N | N  correct    11
NNNNNNnNnNNNNNNN  NNN | b7fa3bab  T | N  incorrect  12
NNNNNNnNnNNnNNNN  NNT | b7fa3bbf  T | N  incorrect  13
NNNNNNnNnNNnNNnN  NTT | b7fa3bd3  N | N  correct    13
NNNNNNnNnNNnNNnN  TTN | b7fa3be1  N | N  correct    13
NNNNNNnNnNNnNNnN  TNN | b7fa3bef  T | N  incorrect  14
NNNNNNnNnNNtNNnN  NNT | b7fa3cc3  N | N  correct    14
NNNNNNnNnNNtNNnN  NTN | b7fa3ce5  N | N  correct    14
NNNNNNnNnNNtNNnN  TNN | b7fa3cf3  N | N  correct    14
NNNNNNnNnNNtNNnN  NNN | b7fa3d23  N | N  correct    14
NNNNNNnNnNNtNNnN  NNN | b7fa3d30  N | N  correct    14
NNNNNNnNnNNtNNnN  NNN | b7fa3d39  N | N  correct    14
NNNNNNnNnNNtNNnN  NNN | b7fa3d46  N | N  correct    14
NNNNNNNNnNNtNNnN  NNN | b7fa3d56  T | N  incorrect  15
NNNNNNnNnNNtNNnN  NNT | b7fa3d46  N | N  correct    15
NNNNNNnNnNNtNNnN  NTN | b7fa3d56  T | N  incorrect  16
NNNNnNnNnNNtNNnN  TNT | b7fa3d46  N | N  correct    16
NNNNnNnNnNNtNNnN  NTN | b7fa3d56  T | N  incorrect  17
NNNNtNnNnNNtNNnN  TNT | b7fa3d46  N | N  correct    17
NNNNtNnNnNNtNNnN  NTN | b7fa3d56  T | T  correct    17
NNNNTNnNnNNtNNnN  TNT | b7fa3d46  N | N  correct    17
NNNNTNnNnNNtNNnN  NTN | b7fa3d56  T | T  correct    17
NNNNTNnNnNNtNNnN  TNT | b7fa3d46  N | N  correct    17
NNNNTNnNnNNtNNnN  NTN | b7fa3d56  T | T  correct    17
NNNNTNnNnNNtNNnN  TNT | b7fa3d46  N | N  correct    17
NNNNTNnNnNNtNNnN  NTN | b7fa3d56  T | T  correct    17
NNNNTNnNnNNtNNnN  TNT | b7fa3d46  N | N  correct    17
NNNNTNnNnNNtNNnN  NTN | b7fa3d56  T | T  correct    17
NNNNTNnNnNNtNNnN  TNT | b7fa3d46  N | N  correct    17
NNNNTNnNnNNtNNnN  NTN | b7fa3d56  T | T  correct    17
NNNNTNnNnNNtNNnN  TNT | b7fa3d46  N | N  correct    17
NNNNTNnNnNNtNNnN  NTN | b7fa3d56  T | T  correct    17
NNNNTNnNnNNtNNnN  TNT | b7fa3d46  N | N  correct    17
NNNNTNnNnNNtNNnN  NTN | b7fa3d56  N | T  incorrect  18
NNNNtNnNnNNtNNnN  TNN | b7fa3d60  T | T  correct    18
NNNNTNnNnNNtNNnN  NNT | b7fa3da3  T | N  incorrect  19
NNnNTNnNnNNtNNnN  NTT | b7fa3d81  N | N  correct    19
NNNNTNnNnNNtNNnN  TTN | b7fa3d95  N | N  correct    19
NNNNTNnNnNNtNNnN  TNN | b7fa3da3  T | N  incorrect  20
NNNNTNnnnNNtNNnN  NNT | b7fa3d81  N | N  correct    20
NNNNTNnnnNNtNNnN  NTN | b7fa3d95  N | N  correct    20
NNNNTNnNnNNtNNnN  TNN | b7fa3da3  T | N  incorrect  21
NNNNTNnnnNNtNNnN  NNT | b7fa3d81  N | N  correct    21
NNNNTNnnnNNtNNnN  NTN | b7fa3d95  N | N  correct    21
NNNNTNnNnNNtNNnN  TNN | b7fa3da3  T | N  incorrect  22
NNNNTNnnnNNtNNnN  NNT | b7fa3d81  N | N  correct    22
NNNNTNnnnNNtNNnN  NTN | b7fa3d95  N | N  correct    22
NNNNTNnNnNNtNNnN  TNN | b7fa3da3  T | N  incorrect  23
NNNNTNnnnNNtNNnN  NNT | b7fa3d81  N | N  correct    23
NNNNTNnnnNNtNNnN  NTN | b7fa3d95  N | N  correct    23
NNNNTNnNnNNtNNnN  TNN | b7fa3da3  T | N  incorrect  24
NNNNTNnnnNNtNNnN  NNT | b7fa3d81  N | N  correct    24
NNNNTNnnnNNtNNnN  NTN | b7fa3d95  N | N  correct    24
NNNNTNnNnNNtNNnN  TNN | b7fa3da3  N | N  correct    24
NNNNTNnNnNNtNNnN  NNN | b7fabaaa  N | N  correct    24
NNNNTNnNnNNtNNnN  NNN | b7fb5aa1  N | N  correct    24
NNNNTNnNnNNtNNnN  NNN | b7fb5aaa  T | N  incorrect  25
NNNNTNnNnNntNNnN  NNT | b7fb5aaa  T | T  correct    25
NNNNTNnNnNnTNNnN  NTT | b7fb5aaa  T | N  incorrect  26
NNNNTNnNnnnTNNnN  TTT | b7fb5aaa  T | N  incorrect  27
NNNNTNnNnnnTNnnN  TTT | b7fb5aaa  T | N  incorrect  28
NNNNTNnNnnnTNtnN  TTT | b7fb5aaa  T | T  correct    28
NNNNTNnNnnnTNTnN  TTT | b7fb5aaa  T | T  correct    28
