BBBBBBBB NNNNNNNN NNNNNNNNNNNNNNNN  NNNN | b7fa3ac8  T | N  incorrect  1
BBBBBBBB nNNNNNNN NNNNNNNNnNNNNNNN  NNNT | b7fa3ae4  T | N  incorrect  2
BBBBBBBB nNNNnNNN NNNNNnNNnNNNNNNN  NNTT | b7fa3adf  N | N  correct    2
BBBBBBBB nNNNnNNN NNNNNnNNnNNNNNNN  NTTN | b7fa3ae4  T | N  incorrect  3
BBBBBBBB nNNNtNNN NNnNNnNNnNNNNNNN  TTNT | b7fa3adf  N | N  correct    3
BBBBBBBB nNNNtNNN NNNNNnNNnNNNNNNN  TNTN | b7fa3ae4  T | T  correct    3
BBBBBBBB nNNNTNNN NNNNNnNNnNNNNNnN  NTNT | b7fa3adf  N | N  correct    3
BBBBBBBB nNNNTNNN NNNNNnNNnNNNNNnN  TNTN | b7fa3ae4  T | T  correct    3
BBBBBBBB nNNNTNNN NNNNNnNNnNNNNNtN  NTNT | b7fa3adf  N | N  correct    3
BBBBBBBB nNNNTNNN NNNNNnNNnNNNNNtN  TNTN | b7fa3ae4  T | T  correct    3
BBBBBBBB nNNNTNNN NNNNNnNNnNNNNNTN  NTNT | b7fa3adf  N | N  correct    3
BBBBBBBB nNNNTNNN NNNNNnNNnNNNNNTN  TNTN | b7fa3ae4  T | T  correct    3
BBBBBBBB nNNNTNNN NNNNNnNNnNNNNNTN  NTNT | b7fa3adf  N | N  correct    3
BBBBBBBB nNNNTNNN NNNNNnNNnNNNNNTN  TNTN | b7fa3ae4  T | T  correct    3
BBBBBBBB nNNNTNNN NNNNNnNNnNNNNNTN  NTNT | b7fa3adf  N | N  correct    3
BBBBBBBB nNNNTNNN NNNNNnNNnNNNNNTN  TNTN | b7fa3ae4  T | T  correct    3
BBBBBBBB nNNNTNNN NNNNNnNNnNNNNNTN  NTNT | b7fa3adf  N | N  correct    3
BBBBBBBB nNNNTNNN NNNNNnNNnNNNNNTN  TNTN | b7fa3ae4  T | T  correct    3
BBBBBBBB nNNNTNNN NNNNNnNNnNNNNNTN  NTNT | b7fa3adf  N | N  correct    3
BBBBBBBB nNNNTNNN NNNNNnNNnNNNNNTN  TNTN | b7fa3ae4  T | T  correct    3
BBBBBBBB nNNNTNNN NNNNNnNNnNNNNNTN  NTNT | b7fa3adf  N | N  correct    3
BBBBBBBB nNNNTNNN NNNNNnNNnNNNNNTN  TNTN | b7fa3ae4  T | T  correct    3
BBBBBBBB nNNNTNNN NNNNNnNNnNNNNNTN  NTNT | b7fa3adf  N | N  correct    3
BBBBBBBB nNNNTNNN NNNNNnNNnNNNNNTN  TNTN | b7fa3ae4  T | T  correct    3
BBBBBBBB nNNNTNNN NNNNNnNNnNNNNNTN  NTNT | b7fa3adf  N | N  correct    3
BBBBBBBB nNNNTNNN NNNNNnNNnNNNNNTN  TNTN | b7fa3ae4  T | T  correct    3
BBBBBBBB nNNNTNNN NNNNNnNNnNNNNNTN  NTNT | b7fa3adf  N | N  correct    3
BBBBBBBB nNNNTNNN NNNNNnNNnNNNNNTN  TNTN | b7fa3ae4  N | T  incorrect  4
BBBBBBBB nNNNtNNN NNNNNnNNnNNNNNtN  NTNN | b7fa3af0  N | N  correct    4
